food_id,name,aliases,category,serving_size,serving_unit,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,iron_mg,calcium_mg,vitaminC_mg,vitaminA_ug,potassium_mg,sodium_mg,source
dal_fry,Dal Fry,dal,pulse,1,serving,180,9.0,6.0,24.0,6.0,2.5,45,5,30,300,400,IFCT 2017; recipe estimate
dal_makhni,Dal Makhni,dal makhani,pulse,1,serving,250,10.0,12.0,24.0,7.0,2.5,60,5,30,350,450,IFCT 2017; recipe estimate
dal_tadka,Dal Tadka,tadka dal|toor dal,pulse,1,serving,180,9.0,6.0,24.0,6.0,2.5,45,5,30,300,400,IFCT 2017; recipe estimate
dhaniya_chutney,Dhaniya Chutney,coriander chutney|green chutney,condiment,1,serving,25,1.0,0.5,4.0,1.0,0.4,15,8,150,80,120,IFCT 2017; recipe estimate
egg,Egg,anda|eggs,animal protein,1,piece,70,6.3,5.0,0.4,0.0,0.9,25,0,80,65,65,USDA FoodData Central
fried_masala,Fried Masala,masala fry,vegetable,1,serving,120,2.0,7.0,12.0,2.0,0.8,20,10,100,200,300,Recipe-level estimate
fruit,Fruit,seasonal fruit|fruits,fruit,1,serving,80,1.0,0.3,20.0,3.0,0.4,20,25,150,250,5,IFCT 2017; mixed-fruit estimate
fryums,Fryums,fried fryums,snack,1,serving,120,1.0,6.0,16.0,1.0,0.5,10,0,0,50,250,Recipe-level estimate
gajar_ka_halwa,Gajar Ka Halwa,carrot halwa,dessert,1,serving,220,4.0,10.0,28.0,3.0,1.0,100,30,400,250,100,IFCT 2017; recipe estimate
garam_sewai,Garam Sewai,sevai|vermicelli,cereal,1,serving,180,4.0,7.0,28.0,1.5,1.0,25,0,0,100,100,IFCT 2017; recipe estimate
green_salad,Green Salad,salad|raw salad,vegetable,1,serving,35,1.5,0.2,7.0,2.0,0.5,30,20,200,180,30,IFCT 2017; serving estimate
gulab_jamun,Gulab Jamun,gulab jamun,dessert,1,piece,150,2.0,7.0,22.0,0.2,0.5,40,0,20,50,50,Recipe-level estimate
halwa,Halwa,suji halwa|sooji halwa,dessert,1,serving,220,3.0,9.0,32.0,1.0,1.0,30,0,80,80,100,IFCT 2017; recipe estimate
ice_cream,Ice-Cream,ice cream,dessert,1,scoop,140,2.5,8.0,16.0,0.0,0.1,90,2,50,100,50,USDA FoodData Central
idli,Idli,idly,cereal,2,pieces,120,4.0,1.0,24.0,1.0,1.0,20,0,0,80,250,IFCT 2017; serving estimate
jam,Jam,fruit jam,spread,1,tablespoon,50,0.0,0.0,13.0,0.2,0.1,5,0,20,10,5,USDA FoodData Central; estimate
jeera_rice,Jeera Rice,cumin rice,cereal,1,serving,220,4.0,4.0,45.0,1.0,0.5,20,0,0,80,250,IFCT 2017; recipe estimate
kadhi_pakora,Kadhi Pakora,kadhi,dairy,1,serving,220,7.0,12.0,20.0,2.0,1.5,100,3,40,250,500,IFCT 2017; recipe estimate
khichdi,Khichdi,rice dal khichdi,mixed meal,1,serving,200,7.0,4.0,32.0,4.0,1.8,35,3,20,250,300,IFCT 2017; recipe estimate
lauki_chana,Lauki Chana,bottle gourd chana,vegetable,1,serving,140,6.0,4.0,18.0,5.0,2.0,40,10,150,350,300,IFCT 2017; recipe estimate
lemon_pickle,Lemon + Pickle,lemon pickle|achar|pickle,condiment,1,serving,25,0.5,1.0,4.0,1.0,0.3,10,2,10,50,500,IFCT 2017; recipe estimate
masala_onion_dosa,Masala Onion Dosa,masala dosa|onion dosa,cereal,1,piece,300,6.0,12.0,42.0,3.0,2.0,40,4,100,250,500,IFCT 2017; recipe estimate
masala_papad,Masala Papad,papad,snack,1,piece,100,4.0,3.0,14.0,2.0,1.0,25,5,50,100,250,IFCT 2017; recipe estimate
methi_palak_paratha,Methi/Palak Paratha,methi paratha|palak paratha|spinach paratha,breakfast,1,piece,210,5.0,8.0,29.0,3.0,2.0,60,15,200,220,300,IFCT 2017; recipe estimate
mil_dal,Mil Dal,mixed dal|dal,pulse,1,serving,170,8.0,4.0,24.0,6.0,2.5,45,5,30,300,350,IFCT 2017; recipe estimate
milk,Milk,doodh,dairy,200,ml,120,6.4,6.4,9.6,0.0,0.1,240,2,70,300,100,IFCT 2017
mix_paratha,Mix Paratha,mixed paratha,breakfast,1,piece,230,6.0,9.0,31.0,3.0,2.0,70,5,40,190,320,IFCT 2017; recipe estimate
moong_masoor_dal,Moong Masoor Dal,mixed lentil dal,pulse,1,serving,170,9.0,4.0,24.0,6.0,2.5,45,5,30,300,350,IFCT 2017; recipe estimate
motichur_laddu,Motichur Laddu,boondi laddu|laddu,dessert,1,piece,170,2.0,9.0,22.0,1.0,1.0,20,0,20,70,40,Recipe-level estimate
omelette,Omelette,omlette|egg omelette,animal protein,1,piece,120,7.0,9.0,2.0,0.0,1.0,30,2,90,90,150,USDA FoodData Central; recipe estimate
palak_paneer,Palak Paneer,spinach paneer,dairy,1,serving,250,12.0,17.0,12.0,4.0,3.0,220,30,500,400,450,IFCT 2017; recipe estimate
paneer_biryani,Paneer Biryani,vegetable biryani|veg biryani,mixed meal,1,serving,300,10.0,12.0,42.0,3.0,2.0,100,8,120,350,500,IFCT 2017; recipe estimate
paneer_do_pyaza,Paneer Do Pyaza,paneer do pyaza,dairy,1,serving,250,12.0,17.0,12.0,2.0,1.5,180,5,80,250,450,IFCT 2017; recipe estimate
paneer_egg_curry,Paneer Egg Curry,egg paneer curry,mixed meal,1,serving,280,17.0,18.0,10.0,1.0,2.0,130,5,100,300,500,IFCT 2017/USDA; recipe estimate
poori,Poori,puri,breakfast,1,piece,110,2.0,5.0,15.0,1.0,1.0,10,0,0,35,170,IFCT 2017; recipe estimate
rajma,Rajma,kidney bean curry,pulse,1,serving,180,8.0,5.0,25.0,7.0,2.5,50,3,20,350,350,IFCT 2017; recipe estimate
rice_kheer,Rice Kheer,kheer,dessert,1,serving,180,5.0,6.0,25.0,0.5,0.5,120,1,50,150,80,IFCT 2017; recipe estimate
roongi_dal,Roongi Dal,moong dal|green gram dal,pulse,1,serving,170,9.0,4.0,24.0,6.0,2.5,45,5,30,300,350,IFCT 2017; recipe estimate
roti,Roti,chapati|chapatti|phulka,cereal,1,piece,110,3.5,2.0,20.0,2.5,1.2,20,0,0,80,150,IFCT 2017
sambar,Sambar,sambhar,pulse,1,bowl,100,4.0,2.0,12.0,3.0,1.2,35,15,100,200,400,IFCT 2017; recipe estimate
sarson_ka_saag,Sarson Ka Saag,mustard greens,vegetable,1,serving,130,5.0,5.0,12.0,5.0,2.5,120,40,500,350,300,IFCT 2017; recipe estimate
sooji_ka_halwa,Sooji Ka Halwa,suji halwa|semolina halwa,dessert,1,serving,220,3.0,9.0,32.0,1.0,1.0,30,0,80,80,100,IFCT 2017; recipe estimate
sprouts,Sprouts,sprouted black chana|sprouted moong,pulse,1,serving,100,7.0,1.0,16.0,5.0,2.0,35,10,20,250,20,IFCT 2017; serving estimate
tea,Tea,chai|tea bags,beverage,200,ml,2,0.1,0.0,0.4,0.0,0.0,3,0,0,10,5,USDA FoodData Central; without milk/sugar
uttapam,Uttapam,uthappam,cereal,1,piece,180,5.0,4.0,30.0,2.0,1.5,25,2,30,150,300,IFCT 2017; recipe estimate
veg_kofta,Veg Kofta,vegetable kofta,vegetable,1,serving,200,5.0,10.0,22.0,3.0,1.5,40,10,150,300,450,IFCT 2017; recipe estimate
veg_raita,Veg Raita,vegetable raita,dairy,1,bowl,90,4.0,4.0,7.0,1.0,0.4,110,5,50,180,100,IFCT 2017; recipe estimate
white_chole,White Chole,kabuli chana|chickpea curry,pulse,1,serving,180,8.0,6.0,25.0,7.0,2.5,50,4,30,300,350,IFCT 2017; recipe estimate
white_rasgulla,White Rasgulla,rasgulla|rosogolla,dessert,1,piece,120,3.0,2.0,20.0,0.0,0.2,60,0,10,50,30,Recipe-level estimate
